Powered by SCRIER.org.  If you enjoy saving lives, please tip gofundme.com/f/scrier
[31] Apr 13:   actual: 79,805,042,    official: 7,980,491,   infectious: 49,911,315,   dead: 24,841 


RAN OUT OF HOSPITAL BEDS
[32] Apr 14:   actual: 97,745,909,    official: 9,774,577,   infectious: 62,746,203,   dead: 32,604 

[33] Apr 15:   actual: 117,705,936,    official: 11,770,579,   infectious: 78,033,819,   dead: 80,514 

[34] Apr 16:   actual: 138,983,365,    official: 13,898,321,   infectious: 95,734,728,   dead: 166,847 

[35] Apr 17:   actual: 160,502,853,    official: 16,050,269,   infectious: 115,381,078,   dead: 279,169 

[36] Apr 18:   actual: 180,988,564,    official: 18,098,840,   infectious: 136,248,764,   dead: 424,891 

[37] Apr 19:   actual: 199,218,130,    official: 19,921,796,   infectious: 157,233,826,   dead: 594,398 

[38] Apr 20:   actual: 214,310,130,    official: 21,430,996,   infectious: 176,900,400,   dead: 942,521 

[39] Apr 21:   actual: 225,937,257,    official: 22,593,708,   infectious: 193,918,020,   dead: 1,550,491 

[40] Apr 22:   actual: 234,323,253,    official: 23,432,307,   infectious: 207,443,689,   dead: 2,327,422 

[41] Apr 23:   actual: 240,043,085,    official: 24,004,290,   infectious: 217,179,115,   dead: 3,331,203 

[42] Apr 24:   actual: 243,778,299,    official: 24,377,811,   infectious: 223,296,261,   dead: 4,603,207 

[43] Apr 25:   actual: 246,142,010,    official: 24,614,182,   infectious: 226,139,229,   dead: 6,180,565 

[44] Apr 26:   actual: 247,608,497,    official: 24,760,830,   infectious: 226,260,069,   dead: 8,104,654 

[45] Apr 27:   actual: 248,509,001,    official: 24,850,880,   infectious: 224,132,744,   dead: 10,393,861 

[46] Apr 28:   actual: 249,059,960,    official: 24,905,975,   infectious: 219,954,459,   dead: 13,196,727 

[47] Apr 29:   actual: 249,397,701,    official: 24,939,749,   infectious: 213,859,571,   dead: 16,543,358 

[48] Apr 30:   actual: 249,606,197,    official: 24,960,598,   infectious: 206,051,305,   dead: 20,239,954 

[49] May  1:   actual: 249,736,322,    official: 24,973,610,   infectious: 196,686,282,   dead: 24,175,450 

[50] May  2:   actual: 249,818,640,    official: 24,981,841,   infectious: 185,828,386,   dead: 28,176,185 

[51] May  3:   actual: 249,871,468,    official: 24,987,123,   infectious: 173,386,112,   dead: 32,024,869 

[52] May  4:   actual: 249,905,888,    official: 24,990,565,   infectious: 159,400,509,   dead: 35,504,329 

[53] May  5:   actual: 249,928,650,    official: 24,992,841,   infectious: 143,962,640,   dead: 38,425,607 

[54] May  6:   actual: 249,943,887,    official: 24,994,364,   infectious: 127,118,547,   dead: 40,812,428 


HOSPITAL BEDS FINALLY AVAILABLE
[55] May  7:   actual: 249,954,173,    official: 24,995,392,   infectious: 109,114,194,   dead: 42,693,022 

[56] May  8:   actual: 249,961,153,    official: 24,996,090,   infectious: 90,662,166,   dead: 44,003,202 

[57] May  9:   actual: 249,965,886,    official: 24,996,563,   infectious: 72,524,342,   dead: 44,852,995 

[58] May 10:   actual: 249,969,072,    official: 24,996,881,   infectious: 55,590,341,   dead: 45,354,632 

[59] May 11:   actual: 249,971,188,    official: 24,997,092,   infectious: 40,733,411,   dead: 45,601,207 


VENTILATORS FINALLY AVAILABLE
[60] May 12:   actual: 249,972,572,    official: 24,997,230,   infectious: 28,583,376,   dead: 45,661,134 

[61] May 13:   actual: 249,973,459,    official: 24,997,318,   infectious: 19,260,189,   dead: 45,671,194 

[62] May 14:   actual: 249,974,018,    official: 24,997,373,   infectious: 12,538,992,   dead: 45,675,731 

[63] May 15:   actual: 249,974,365,    official: 24,997,407,   infectious: 7,956,685,   dead: 45,677,286 

[64] May 16:   actual: 249,974,579,    official: 24,997,428,   infectious: 4,964,897,   dead: 45,677,977 

[65] May 17:   actual: 249,974,710,    official: 24,997,441,   infectious: 3,071,475,   dead: 45,678,882 

[66] May 18:   actual: 249,974,791,    official: 24,997,449,   infectious: 1,896,608,   dead: 45,680,066 

[67] May 19:   actual: 249,974,841,    official: 24,997,454,   infectious: 1,175,052,   dead: 45,681,610 

[68] May 20:   actual: 249,974,872,    official: 24,997,457,   infectious: 733,496,   dead: 45,682,930 

[69] May 21:   actual: 249,974,892,    official: 24,997,459,   infectious: 462,771,   dead: 45,683,790 

[70] May 22:   actual: 249,974,904,    official: 24,997,460,   infectious: 295,618,   dead: 45,684,359 

[71] May 23:   actual: 249,974,912,    official: 24,997,460,   infectious: 191,286,   dead: 45,684,739 

[72] May 24:   actual: 249,974,917,    official: 24,997,460,   infectious: 125,282,   dead: 45,684,996 

[73] May 25:   actual: 249,974,920,    official: 24,997,460,   infectious: 82,927,   dead: 45,685,170 

[74] May 26:   actual: 249,974,922,    official: 24,997,460,   infectious: 55,334,   dead: 45,685,288 

[75] May 27:   actual: 249,974,924,    official: 24,997,460,   infectious: 37,089,   dead: 45,685,367 

[76] May 28:   actual: 249,974,925,    official: 24,997,460,   infectious: 24,877,   dead: 45,685,419 

[77] May 29:   actual: 249,974,926,    official: 24,997,460,   infectious: 16,635,   dead: 45,685,453 

[78] May 30:   actual: 249,974,926,    official: 24,997,460,   infectious: 11,044,   dead: 45,685,475 

[79] May 31:   actual: 249,974,926,    official: 24,997,460,   infectious: 7,252,   dead: 45,685,488 

[80] Jun  1:   actual: 249,974,926,    official: 24,997,460,   infectious: 4,699,   dead: 45,685,496 

As of Jun  1 evening:
 33,384,799:  Total avoidable deaths from severely ills denied Hosp.BEDS
 12,102,771:  Total avoidable deaths from critically ills denied H.VENTS 
    197,926:  Total deaths of those given proper hospital treatment: 
---------------
 45,685,496:  GRAND TOTAL DEATHS




Starting Run:
USA Idyllic Best-Case Scenario:  0.00 at March 25
[0] Mar 13:   actual: 21,957,    official: 2,195,   infectious: 12,326,   dead: 4 

[1] Mar 14:   actual: 28,818,    official: 2,881,   infectious: 16,338,   dead: 9 

[2] Mar 15:   actual: 37,787,    official: 3,777,   infectious: 21,357,   dead: 14 

[3] Mar 16:   actual: 49,612,    official: 4,959,   infectious: 28,159,   dead: 46 

[4] Mar 17:   actual: 65,173,    official: 6,515,   infectious: 37,058,   dead: 74 

[5] Mar 18:   actual: 85,646,    official: 8,562,   infectious: 48,759,   dead: 110 

[6] Mar 19:   actual: 112,465,    official: 11,243,   infectious: 63,876,   dead: 144 

[7] Mar 20:   actual: 147,704,    official: 14,766,   infectious: 83,941,   dead: 195 

[8] Mar 21:   actual: 193,984,    official: 19,394,   infectious: 110,255,   dead: 207 

[9] Mar 22:   actual: 254,827,    official: 25,478,   infectious: 144,976,   dead: 211 

[10] Mar 23:   actual: 334,704,    official: 33,465,   infectious: 190,377,   dead: 216 

[11] Mar 24:   actual: 439,606,    official: 43,955,   infectious: 250,101,   dead: 221 

[12] Mar 25:   actual: 439,606,    official: 43,955,   infectious: 328,501,   dead: 253 

[13] Mar 26:   actual: 439,606,    official: 43,955,   infectious: 430,667,   dead: 281 

[14] Mar 27:   actual: 439,606,    official: 43,955,   infectious: 427,851,   dead: 317 

[15] Mar 28:   actual: 439,606,    official: 43,955,   infectious: 424,174,   dead: 351 

[16] Mar 29:   actual: 439,606,    official: 43,955,   infectious: 419,444,   dead: 402 

[17] Mar 30:   actual: 439,606,    official: 43,955,   infectious: 411,587,   dead: 531 

[18] Mar 31:   actual: 439,606,    official: 43,955,   infectious: 402,196,   dead: 702 

[19] Apr  1:   actual: 439,606,    official: 43,955,   infectious: 389,882,   dead: 926 

[20] Apr  2:   actual: 439,606,    official: 43,955,   infectious: 374,546,   dead: 1,221 

[21] Apr  3:   actual: 439,606,    official: 43,955,   infectious: 354,007,   dead: 1,610 

[22] Apr  4:   actual: 439,606,    official: 43,955,   infectious: 334,129,   dead: 2,121 

[23] Apr  5:   actual: 439,606,    official: 43,955,   infectious: 328,640,   dead: 2,791 

[24] Apr  6:   actual: 439,606,    official: 43,955,   infectious: 321,464,   dead: 3,671 

[25] Apr  7:   actual: 439,606,    official: 43,955,   infectious: 312,003,   dead: 4,828 

[26] Apr  8:   actual: 439,606,    official: 43,955,   infectious: 299,554,   dead: 6,349 

[27] Apr  9:   actual: 439,606,    official: 43,955,   infectious: 283,174,   dead: 8,345 

[28] Apr 10:   actual: 439,606,    official: 43,955,   infectious: 261,717,   dead: 10,967 

[29] Apr 11:   actual: 439,606,    official: 43,955,   infectious: 233,524,   dead: 10,967 

[30] Apr 12:   actual: 439,606,    official: 43,955,   infectious: 196,500,   dead: 10,967 

[31] Apr 13:   actual: 439,606,    official: 43,955,   infectious: 147,825,   dead: 10,967 

[32] Apr 14:   actual: 439,606,    official: 43,955,   infectious: 83,922,   dead: 10,967 

[33] Apr 15:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[34] Apr 16:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[35] Apr 17:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[36] Apr 18:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[37] Apr 19:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[38] Apr 20:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[39] Apr 21:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[40] Apr 22:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[41] Apr 23:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[42] Apr 24:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[43] Apr 25:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[44] Apr 26:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[45] Apr 27:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[46] Apr 28:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[47] Apr 29:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

[48] Apr 30:   actual: 439,606,    official: 43,955,   infectious: 0,   dead: 10,967 

As of Apr 30 evening:
          0:  Total avoidable deaths from severely ills denied Hosp.BEDS
          0:  Total avoidable deaths from critically ills denied H.VENTS 
     10,967:  Total deaths of those given proper hospital treatment: 
---------------
     10,967:  GRAND TOTAL DEATHS




Starting Run:
USA Self-Isolation Scenario:  0.20 at March 25
[0] Mar 13:   actual: 21,957,    official: 2,195,   infectious: 12,326,   dead: 4 

[1] Mar 14:   actual: 28,818,    official: 2,881,   infectious: 16,338,   dead: 9 

[2] Mar 15:   actual: 37,787,    official: 3,777,   infectious: 21,357,   dead: 14 

[3] Mar 16:   actual: 49,612,    official: 4,959,   infectious: 28,159,   dead: 46 

[4] Mar 17:   actual: 65,173,    official: 6,515,   infectious: 37,058,   dead: 74 

[5] Mar 18:   actual: 85,646,    official: 8,562,   infectious: 48,759,   dead: 110 

[6] Mar 19:   actual: 112,465,    official: 11,243,   infectious: 63,876,   dead: 144 

[7] Mar 20:   actual: 147,704,    official: 14,766,   infectious: 83,941,   dead: 195 

[8] Mar 21:   actual: 193,984,    official: 19,394,   infectious: 110,255,   dead: 207 

[9] Mar 22:   actual: 254,827,    official: 25,478,   infectious: 144,976,   dead: 211 

[10] Mar 23:   actual: 334,704,    official: 33,465,   infectious: 190,377,   dead: 216 

[11] Mar 24:   actual: 439,606,    official: 43,955,   infectious: 250,101,   dead: 221 

[12] Mar 25:   actual: 505,191,    official: 50,513,   infectious: 328,501,   dead: 253 

[13] Mar 26:   actual: 591,150,    official: 59,108,   infectious: 430,667,   dead: 281 

[14] Mar 27:   actual: 689,604,    official: 68,953,   infectious: 493,436,   dead: 317 

[15] Mar 28:   actual: 804,430,    official: 80,435,   infectious: 575,718,   dead: 351 

[16] Mar 29:   actual: 937,888,    official: 93,780,   infectious: 669,442,   dead: 402 

[17] Mar 30:   actual: 1,092,588,    official: 109,250,   infectious: 776,411,   dead: 531 

[18] Mar 31:   actual: 1,271,897,    official: 127,180,   infectious: 900,478,   dead: 702 

[19] Apr  1:   actual: 1,479,409,    official: 147,931,   infectious: 1,042,864,   dead: 926 

[20] Apr  2:   actual: 1,719,348,    official: 171,924,   infectious: 1,206,837,   dead: 1,221 

[21] Apr  3:   actual: 1,996,193,    official: 199,608,   infectious: 1,393,810,   dead: 1,610 

[22] Apr  4:   actual: 2,315,739,    official: 231,562,   infectious: 1,610,592,   dead: 2,121 

[23] Apr  5:   actual: 2,685,842,    official: 268,572,   infectious: 1,867,814,   dead: 2,791 

[24] Apr  6:   actual: 3,113,670,    official: 311,354,   infectious: 2,162,369,   dead: 3,671 

[25] Apr  7:   actual: 3,607,937,    official: 360,780,   infectious: 2,502,502,   dead: 4,828 

[26] Apr  8:   actual: 4,178,381,    official: 417,824,   infectious: 2,893,986,   dead: 6,349 

[27] Apr  9:   actual: 4,836,027,    official: 483,588,   infectious: 3,344,120,   dead: 8,345 

[28] Apr 10:   actual: 5,593,277,    official: 559,313,   infectious: 3,860,937,   dead: 10,967 

[29] Apr 11:   actual: 6,463,975,    official: 646,382,   infectious: 4,453,119,   dead: 12,606 

[30] Apr 12:   actual: 7,463,490,    official: 746,333,   infectious: 5,130,223,   dead: 14,754 

[31] Apr 13:   actual: 8,608,731,    official: 860,857,   infectious: 5,902,414,   dead: 17,215 

[32] Apr 14:   actual: 9,918,138,    official: 991,797,   infectious: 6,780,523,   dead: 20,085 

[33] Apr 15:   actual: 11,411,525,    official: 1,141,135,   infectious: 7,775,406,   dead: 23,421 

[34] Apr 16:   actual: 13,120,856,    official: 1,312,068,   infectious: 8,955,438,   dead: 27,288 

[35] Apr 17:   actual: 15,071,067,    official: 1,507,089,   infectious: 10,291,169,   dead: 31,770 


RAN OUT OF VENTILATORS
[36] Apr 18:   actual: 17,292,381,    official: 1,729,220,   infectious: 11,819,074,   dead: 36,957 

[37] Apr 19:   actual: 19,817,495,    official: 1,981,731,   infectious: 13,563,768,   dead: 42,955 

[38] Apr 20:   actual: 22,685,323,    official: 2,268,513,   infectious: 15,573,665,   dead: 49,876 

[39] Apr 21:   actual: 25,932,191,    official: 2,593,199,   infectious: 17,854,479,   dead: 57,864 

[40] Apr 22:   actual: 29,595,331,    official: 2,959,513,   infectious: 20,435,446,   dead: 71,909 

[41] Apr 23:   actual: 33,708,123,    official: 3,370,792,   infectious: 23,325,229,   dead: 114,463 


RAN OUT OF HOSPITAL BEDS
[42] Apr 24:   actual: 38,306,890,    official: 3,830,668,   infectious: 26,577,319,   dead: 163,400 

[43] Apr 25:   actual: 43,427,920,    official: 4,342,771,   infectious: 30,238,523,   dead: 219,620 

[44] Apr 26:   actual: 49,120,264,    official: 4,912,005,   infectious: 34,445,264,   dead: 281,638 

[45] Apr 27:   actual: 55,406,330,    official: 5,540,611,   infectious: 39,115,857,   dead: 339,379 

[46] Apr 28:   actual: 62,303,045,    official: 6,230,282,   infectious: 44,302,025,   dead: 405,116 

[47] Apr 29:   actual: 69,811,586,    official: 6,981,136,   infectious: 50,004,417,   dead: 480,316 

[48] Apr 30:   actual: 77,913,722,    official: 7,791,349,   infectious: 56,206,003,   dead: 589,089 

[49] May  1:   actual: 86,556,019,    official: 8,655,578,   infectious: 62,775,900,   dead: 852,381 

[50] May  2:   actual: 95,682,919,    official: 9,568,268,   infectious: 69,801,441,   dead: 1,152,192 

[51] May  3:   actual: 105,217,487,    official: 10,521,724,   infectious: 77,231,959,   dead: 1,492,565 

[52] May  4:   actual: 115,074,354,    official: 11,507,410,   infectious: 85,100,636,   dead: 1,876,870 

[53] May  5:   actual: 125,134,450,    official: 12,513,419,   infectious: 93,200,373,   dead: 2,304,292 

[54] May  6:   actual: 135,266,515,    official: 13,526,625,   infectious: 101,429,746,   dead: 2,785,679 

[55] May  7:   actual: 145,330,164,    official: 14,532,989,   infectious: 109,641,588,   dead: 3,325,692 

[56] May  8:   actual: 155,181,743,    official: 15,518,146,   infectious: 117,650,642,   dead: 3,950,653 

[57] May  9:   actual: 164,676,900,    official: 16,467,661,   infectious: 125,175,749,   dead: 4,779,073 

[58] May 10:   actual: 173,697,851,    official: 17,369,756,   infectious: 132,158,690,   dead: 5,698,780 

[59] May 11:   actual: 182,148,601,    official: 18,214,831,   infectious: 138,442,195,   dead: 6,714,401 

[60] May 12:   actual: 189,963,850,    official: 18,996,355,   infectious: 143,977,302,   dead: 7,830,943 

[61] May 13:   actual: 197,097,396,    official: 19,709,709,   infectious: 148,526,059,   dead: 9,045,979 

[62] May 14:   actual: 203,530,221,    official: 20,352,991,   infectious: 151,996,887,   dead: 10,359,866 

[63] May 15:   actual: 209,267,092,    official: 20,926,678,   infectious: 154,317,267,   dead: 11,767,389 

[64] May 16:   actual: 214,331,826,    official: 21,433,151,   infectious: 155,425,122,   dead: 13,280,322 

[65] May 17:   actual: 218,760,374,    official: 21,876,005,   infectious: 155,199,550,   dead: 14,994,617 

[66] May 18:   actual: 222,602,882,    official: 22,260,255,   infectious: 153,751,373,   dead: 16,780,005 

[67] May 19:   actual: 225,915,448,    official: 22,591,511,   infectious: 151,136,607,   dead: 18,616,603 

[68] May 20:   actual: 228,757,760,    official: 22,875,742,   infectious: 147,517,371,   dead: 20,484,092 

[69] May 21:   actual: 231,185,571,    official: 23,118,523,   infectious: 142,864,603,   dead: 22,352,504 

[70] May 22:   actual: 233,251,865,    official: 23,325,152,   infectious: 137,281,228,   dead: 24,194,277 

[71] May 23:   actual: 235,005,622,    official: 23,500,527,   infectious: 130,891,941,   dead: 25,979,867 

[72] May 24:   actual: 236,490,668,    official: 23,649,031,   infectious: 123,800,206,   dead: 27,700,195 

[73] May 25:   actual: 237,744,691,    official: 23,774,433,   infectious: 116,033,034,   dead: 29,437,920 

[74] May 26:   actual: 238,801,919,    official: 23,880,155,   infectious: 107,833,721,   dead: 31,058,378 

[75] May 27:   actual: 239,692,124,    official: 23,969,175,   infectious: 99,370,227,   dead: 32,544,461 

[76] May 28:   actual: 240,441,695,    official: 24,044,132,   infectious: 90,897,811,   dead: 33,885,356 

[77] May 29:   actual: 241,072,192,    official: 24,107,181,   infectious: 82,454,118,   dead: 35,071,744 

[78] May 30:   actual: 241,602,023,    official: 24,160,164,   infectious: 74,182,641,   dead: 36,100,987 

[79] May 31:   actual: 242,046,895,    official: 24,204,651,   infectious: 66,217,115,   dead: 36,973,588 

[80] Jun  1:   actual: 242,420,029,    official: 24,241,964,   infectious: 58,645,949,   dead: 37,713,384 

[81] Jun  2:   actual: 242,732,058,    official: 24,273,166,   infectious: 51,456,165,   dead: 38,435,160 

[82] Jun  3:   actual: 242,992,555,    official: 24,299,215,   infectious: 44,802,484,   dead: 39,035,196 

[83] Jun  4:   actual: 243,209,723,    official: 24,320,931,   infectious: 38,738,872,   dead: 39,525,067 

[84] Jun  5:   actual: 243,391,022,    official: 24,339,060,   infectious: 33,374,726,   dead: 39,925,535 

[85] Jun  6:   actual: 243,542,261,    official: 24,354,183,   infectious: 28,604,749,   dead: 40,232,918 


HOSPITAL BEDS FINALLY AVAILABLE
[86] Jun  7:   actual: 243,668,359,    official: 24,366,792,   infectious: 24,408,343,   dead: 40,455,168 

[87] Jun  8:   actual: 243,773,489,    official: 24,377,305,   infectious: 20,754,957,   dead: 40,597,551 

[88] Jun  9:   actual: 243,861,244,    official: 24,386,080,   infectious: 17,617,274,   dead: 40,680,310 

[89] Jun 10:   actual: 243,934,173,    official: 24,393,372,   infectious: 14,850,201,   dead: 40,822,045 

[90] Jun 11:   actual: 243,994,845,    official: 24,399,439,   infectious: 12,502,914,   dead: 40,915,372 

[91] Jun 12:   actual: 244,045,411,    official: 24,404,495,   infectious: 10,525,499,   dead: 40,966,204 

[92] Jun 13:   actual: 244,087,624,    official: 24,408,716,   infectious: 8,861,357,   dead: 40,989,638 


VENTILATORS FINALLY AVAILABLE
[93] Jun 14:   actual: 244,122,853,    official: 24,412,238,   infectious: 7,448,095,   dead: 41,009,437 

[94] Jun 15:   actual: 244,152,246,    official: 24,415,177,   infectious: 6,251,595,   dead: 41,026,353 

[95] Jun 16:   actual: 244,176,776,    official: 24,417,630,   infectious: 5,243,435,   dead: 41,039,676 

[96] Jun 17:   actual: 244,197,255,    official: 24,419,677,   infectious: 4,395,968,   dead: 41,044,203 

[97] Jun 18:   actual: 244,214,358,    official: 24,421,387,   infectious: 3,684,163,   dead: 41,047,042 

[98] Jun 19:   actual: 244,228,636,    official: 24,422,814,   infectious: 3,084,828,   dead: 41,050,324 

[99] Jun 20:   actual: 244,240,551,    official: 24,424,005,   infectious: 2,580,723,   dead: 41,054,128 

[100] Jun 21:   actual: 244,250,490,    official: 24,424,998,   infectious: 2,157,163,   dead: 41,058,513 

[101] Jun 22:   actual: 244,258,776,    official: 24,425,826,   infectious: 1,801,551,   dead: 41,063,045 

[102] Jun 23:   actual: 244,265,681,    official: 24,426,516,   infectious: 1,503,288,   dead: 41,066,825 

[103] Jun 24:   actual: 244,271,433,    official: 24,427,091,   infectious: 1,253,858,   dead: 41,069,977 

[104] Jun 25:   actual: 244,276,225,    official: 24,427,570,   infectious: 1,045,611,   dead: 41,072,605 

[105] Jun 26:   actual: 244,280,218,    official: 24,427,969,   infectious: 871,994,   dead: 41,074,798 

[106] Jun 27:   actual: 244,283,545,    official: 24,428,301,   infectious: 727,043,   dead: 41,076,621 

[107] Jun 28:   actual: 244,286,317,    official: 24,428,578,   infectious: 606,117,   dead: 41,078,137 

[108] Jun 29:   actual: 244,288,627,    official: 24,428,809,   infectious: 505,286,   dead: 41,079,401 

[109] Jun 30:   actual: 244,290,552,    official: 24,429,001,   infectious: 421,217,   dead: 41,080,456 

[110] Jul  1:   actual: 244,292,155,    official: 24,429,161,   infectious: 351,039,   dead: 41,081,336 

As of Jul  1 evening:
 29,228,394:  Total avoidable deaths from severely ills denied Hosp.BEDS
 11,499,871:  Total avoidable deaths from critically ills denied H.VENTS 
    353,071:  Total deaths of those given proper hospital treatment: 
---------------
 41,081,336:  GRAND TOTAL DEATHS




Starting Run:
USA Inadequate 1:10 spread Lockdown Scenario:  0.10 at March 25
[0] Mar 13:   actual: 21,957,    official: 2,195,   infectious: 12,326,   dead: 4 

[1] Mar 14:   actual: 28,818,    official: 2,881,   infectious: 16,338,   dead: 9 

[2] Mar 15:   actual: 37,787,    official: 3,777,   infectious: 21,357,   dead: 14 

[3] Mar 16:   actual: 49,612,    official: 4,959,   infectious: 28,159,   dead: 46 

[4] Mar 17:   actual: 65,173,    official: 6,515,   infectious: 37,058,   dead: 74 

[5] Mar 18:   actual: 85,646,    official: 8,562,   infectious: 48,759,   dead: 110 

[6] Mar 19:   actual: 112,465,    official: 11,243,   infectious: 63,876,   dead: 144 

[7] Mar 20:   actual: 147,704,    official: 14,766,   infectious: 83,941,   dead: 195 

[8] Mar 21:   actual: 193,984,    official: 19,394,   infectious: 110,255,   dead: 207 

[9] Mar 22:   actual: 254,827,    official: 25,478,   infectious: 144,976,   dead: 211 

[10] Mar 23:   actual: 334,704,    official: 33,465,   infectious: 190,377,   dead: 216 

[11] Mar 24:   actual: 439,606,    official: 43,955,   infectious: 250,101,   dead: 221 

[12] Mar 25:   actual: 472,398,    official: 47,234,   infectious: 328,501,   dead: 253 

[13] Mar 26:   actual: 515,383,    official: 51,532,   infectious: 430,667,   dead: 281 

[14] Mar 27:   actual: 561,352,    official: 56,128,   infectious: 460,643,   dead: 317 

[15] Mar 28:   actual: 611,235,    official: 61,116,   infectious: 499,951,   dead: 351 

[16] Mar 29:   actual: 665,222,    official: 66,514,   infectious: 541,190,   dead: 402 

[17] Mar 30:   actual: 723,388,    official: 72,330,   infectious: 583,216,   dead: 531 

[18] Mar 31:   actual: 785,988,    official: 78,590,   infectious: 627,812,   dead: 702 

[19] Apr  1:   actual: 853,143,    official: 85,305,   infectious: 673,664,   dead: 926 

[20] Apr  2:   actual: 924,990,    official: 92,489,   infectious: 720,928,   dead: 1,221 

[21] Apr  3:   actual: 1,001,460,    official: 100,136,   infectious: 767,544,   dead: 1,610 

[22] Apr  4:   actual: 1,082,920,    official: 108,282,   infectious: 817,874,   dead: 2,121 

